filename,led_role,gauss_x,gauss_y,sigma_x,sigma_y,FWHM_px,centroid_x,centroid_y,peak of gauss,blob area,centroid_to_gauss_dist
range699_exp20_42.dng,central,623.062074166088,378.965250284081,1.63423116430667,1.7320545996339,3.96516734852061,623.029005894962,378.831591639871,15.7307790984568,24,0.137688575150718
range699_exp20_43.dng,central,622.999743728794,379.059300836327,1.64574209579503,1.73240011438418,3.97876253510644,622.962093862816,379.003898916968,15.4965848854163,22,0.0669842151323064
range699_exp20_44.dng,central,622.98543684352,379.009783663085,1.70132925967226,1.73606891954941,4.04742923851245,623.014331210191,378.926172553561,14.4915197114807,23,0.0884629982596187
range699_exp20_45.dng,central,623.038918212793,379.038529199413,1.65279395210005,1.7232661055957,3.97586842994201,622.948111926107,378.820225482206,15.3493989136819,24,0.236436660964833
range699_exp20_46.dng,central,623.030626078033,379.043445462491,1.65998001096059,1.74528856141959,4.01065082385638,622.95239771847,378.898669107809,15.2192898057995,23,0.164559621763433
range699_exp20_47.dng,central,622.985204064619,379.057518321144,1.68791554124418,1.73073937409002,4.02546986037725,623.021878255693,379.060202411073,15.3237423447159,21,0.0367722807241107
range699_exp20_48.dng,central,623.015893156611,379.007805205595,1.71777759208676,1.7880262441913,4.12859256512125,623.03482105845,378.843236147575,14.5895774981483,24,0.165653977693293
range699_exp20_49.dng,central,622.997127579297,378.973082112122,1.70149716351605,1.78067729935777,4.10100233854849,623.012898330804,378.824596496068,14.8205553187064,24,0.149320778118033
range699_exp20_5.dng,central,623.0241098941,379.011006040461,1.61700248968157,1.7327878687679,3.94642770363283,623.024288451013,378.840996168582,15.4190047213748,24,0.170009965645757
range699_exp20_50.dng,central,623.029610781511,379.063455482134,1.66723890948892,1.69445221035227,3.95821408965084,623.041448058762,379.060035976615,15.2985789000665,21,0.0123212885163857
range699_exp20_51.dng,central,622.92246525703,378.99955606762,1.65446456775058,1.75229726113374,4.01280466192957,622.930171371685,378.898314726588,15.0206230440949,23,0.101534197870591
range699_exp20_52.dng,central,623.024804564058,379.085889732217,1.66295800083079,1.712745908889,3.97501545593546,623.037275551178,379.072429729525,15.1371494659454,21,0.0183493104016989
range699_exp20_53.dng,central,623.089306761589,378.976434301474,1.68880985981391,1.78334376692481,4.08965885260687,623.055486542443,378.828433402346,14.6521472389411,24,0.151815919341856
range699_exp20_54.dng,central,623.009166747103,379.009116302641,1.70189060213411,1.82659736799723,4.15706636652286,623.09257046461,378.902931046602,14.6281715075659,23,0.135024030061894
range699_exp20_55.dng,central,622.992689947533,379.061471141201,1.64285485308903,1.71083068347881,3.9494695942283,622.968463219228,378.99737800437,15.2455950095059,22,0.0685190816727425
range699_exp20_56.dng,central,623.085824840112,379.080908849656,1.64122712210689,1.68501160006534,3.91668172691945,623.055299206921,378.971449170872,15.5755133123348,22,0.113636418287061
range699_exp20_57.dng,central,623.055069407633,379.023768978876,1.65559238609598,1.74482930744908,4.00506452940799,623.108542492294,378.992734478203,15.0303824202931,22,0.0618264588601425
range699_exp20_58.dng,central,622.984951027209,379.012219785873,1.64978175037123,1.70993213436596,3.95639031298357,622.966021164783,378.982002735584,15.5949830343192,22,0.0356568341222508
range699_exp20_59.dng,central,623.029564226229,378.975692072205,1.64814898995568,1.69566275583543,3.93743051319315,623.064918937565,378.792549154881,15.2585794527099,24,0.186524217675989
range699_exp20_6.dng,central,623.012234781648,378.980591472416,1.71078935765869,1.7390954247952,4.0620611135249,623.022063503288,378.909836645216,15.0068274947665,23,0.0714342308778869
range699_exp20_60.dng,central,622.977912041923,378.987333496904,1.70928454545839,1.80676844075246,4.14142224041208,622.954784514244,378.964864864865,14.7601530602506,22,0.0322447199125181
range699_exp20_7.dng,central,623.0357646755,379.043710435249,1.63181736851851,1.70421338925733,3.92879646436027,622.983958394374,378.99318781131,15.2848064394034,22,0.0723631556374162
range699_exp20_8.dng,central,623.044070140026,379.048256388375,1.68490979756117,1.76227403234605,4.05976628270413,623.042686140179,379.054581043439,14.9790739315277,21,0.00647431210644557
range699_exp20_9.dng,central,623.067646125906,379.006849318413,1.6331874348222,1.7367711754566,3.96969254820452,623.073982650398,378.890048663516,15.2222352873857,23,0.116972409254601
range699_exp20_1.dng,central,623.038194669593,379.039414086688,1.67137996544675,1.73271596915522,4.0086627670788,623.060875667969,378.99134057991,15.2071539820632,23,0.0531553359620071
range699_exp20_10.dng,central,623.034955686641,378.985799133408,1.68718963714969,1.7872643323627,4.09254892433859,623.030140633169,378.832509949957,14.8711836902668,25,0.153364788993998
range699_exp20_11.dng,central,623.021804333339,379.017923933944,1.70572013899674,1.82744929004689,4.16245273064409,623.033389423479,378.911443504037,14.2946642395361,24,0.107108805738868
range699_exp20_12.dng,central,623.01025712417,379.008672705694,1.6806464507623,1.72370524500784,4.00863394098739,623.025551063775,378.919582614822,14.8688964030126,23,0.0903933010800471
range699_exp20_13.dng,central,623.025312520974,379.051164667918,1.65659697169238,1.700145759708,3.95259072047049,623.050993099657,379.088972470959,15.5510011425273,21,0.0457047272428619
range699_exp20_14.dng,central,623.052601663238,379.03957960655,1.64347014155549,1.71620476149892,3.95663738891443,622.980577721078,378.961313866584,15.3623970794443,23,0.106362466578154
range699_exp20_15.dng,central,623.019666364542,379.019297003802,1.63236737853417,1.70472898443386,3.93004994331213,623.066940437941,378.937028872038,15.3493251741933,23,0.094883526070878
range699_exp20_16.dng,central,623.055968743622,379.04136094473,1.69468570318372,1.73556896263988,4.03909856381842,623.073802586794,378.985633764466,15.2927789524679,23,0.0585112346687616
range699_exp20_17.dng,central,623.008679653491,379.004823875945,1.71034419989216,1.78910649893177,4.12132719929361,622.998084215738,379.03082696614,15.0727990182074,22,0.028078888882413
range699_exp20_18.dng,central,622.97375008932,379.08645673736,1.66912971265417,1.69388269950613,3.95974735937526,623.012806478637,379.009106394862,15.2143550880949,23,0.0866514687191162
range699_exp20_19.dng,central,623.057021705079,379.074470776353,1.66927517565381,1.75233409774397,4.02981935330178,623.05200966309,379.038872488979,15.1383886244456,22,0.0359493898259886
range699_exp20_2.dng,central,622.977142818391,379.039250106614,1.68909926946586,1.77755540710839,4.08299794077686,622.979519910477,378.998330098319,14.8755365352429,22,0.040988994200715
range699_exp20_20.dng,central,623.073751523875,379.095928888642,1.66398864239424,1.74001068020694,4.00889783416555,623.077305859465,379.051211571383,15.1246458340287,22,0.0448583522252554
range699_exp20_21.dng,central,622.992229713203,379.046457818115,1.68980477395164,1.76346927903301,4.0668399284335,622.976543560716,378.97161680953,14.46210734377,23,0.0764671952268147
range699_exp20_22.dng,central,623.082354420324,379.006350305984,1.65359372976098,1.7208318222502,3.9738666858717,623.074897834499,378.969908356527,15.585933444435,23,0.0371969938627034
range699_exp20_23.dng,central,623.003104297214,379.033778981744,1.66749913584948,1.76190657322728,4.03934185829277,623.040024968996,378.918041480573,14.8807469686883,24,0.121483765096581
range699_exp20_24.dng,central,623.046905304151,379.048422307518,1.65383248829017,1.73177836637093,3.98730401139165,623.060889725574,378.994815519116,15.4718952862707,23,0.0554008285621621
range699_exp20_25.dng,central,623.029046911523,379.076623090315,1.66613807587393,1.72323774502615,3.99124686870115,623.022015429201,378.941817138806,15.1656203454965,24,0.134989208108949
range699_exp20_26.dng,central,623.041474610772,378.977827857697,1.68352185971047,1.75116650733949,4.04481621194321,623.057274334728,378.963639308974,15.3013235314331,23,0.0212354936834103
range699_exp20_27.dng,central,623.08666935693,379.018477828212,1.70202239491096,1.7048265342516,4.01125495990902,623.073133899426,378.905358362885,15.1289366337532,24,0.113926388714678
range699_exp20_28.dng,central,622.991599880925,379.082239851847,1.64646936477886,1.67943845776624,3.91614523074764,623.03767120279,379.10415513601,15.3138723571855,21,0.051018098537386
range699_exp20_29.dng,central,622.998511429862,379.009256627011,1.70518192259827,1.76384951992642,4.08505189006232,623.043583435384,378.902418464681,14.8218733491705,24,0.115956365119028
range699_exp20_3.dng,central,623.063644421413,379.038625388776,1.69335437473041,1.75195421054402,4.0571230547062,623.122622430581,379.051912008655,14.8583966082994,22,0.0604560983957161
range699_exp20_30.dng,central,623.010756989568,378.981186222961,1.72783442247923,1.78801952313204,4.14020353145967,623.000080375468,378.927785512322,14.4030961659183,23,0.0544575613239915
range699_exp20_31.dng,central,623.010854489988,378.991842414985,1.67303084223235,1.79850190616428,4.09008172617362,622.991516347238,378.937435174746,14.6531401883134,23,0.0577417661263492
range699_exp20_32.dng,central,623.08745813827,378.9817111565,1.69942718611893,1.73298642813716,4.04154684151571,623.086819514447,378.958470686447,14.8126235455646,23,0.0232492427547944
range699_exp20_33.dng,central,623.049956822726,378.986444648278,1.66823825669675,1.78367169863419,4.06658069615246,623.104854183999,378.931499673661,14.9130533158095,23,0.0776702678659547
range699_exp20_34.dng,central,623.031287014333,378.972900829111,1.68439542893663,1.73265137324706,4.02366183368187,623.093209726877,379.002607145404,15.1105604248876,22,0.0686796007308036
range699_exp20_35.dng,central,623.00006307129,378.970951657731,1.6795389541142,1.74670507875581,4.03486462962817,623.032597880506,378.877499986839,15.4639719585897,24,0.0989531636853601
range699_exp20_36.dng,central,623.043565923263,379.030707324822,1.65750620308544,1.70536321905948,3.95987266540617,622.998823068966,378.954376450197,15.2235176702261,23,0.0884778245186441
range699_exp20_37.dng,central,622.982944591481,378.99386308872,1.64830210789706,1.71997190309921,3.96673281888451,622.965190421686,379.017890464573,15.3497682074867,22,0.0298751625185095
range699_exp20_38.dng,central,623.027233139365,379.025853121992,1.74504098419652,1.7685542396704,4.13703025133531,623.012451527876,379.032305008372,14.5650026950697,22,0.0161283252710647
range699_exp20_39.dng,central,623.020489553959,379.006180761843,1.66139444986123,1.72876760754395,3.99239448090162,622.996058740645,379.01383916197,15.1725467938012,22,0.0256030414539194
range699_exp20_4.dng,central,623.051557433735,379.039008618407,1.64454474703589,1.7751530722637,4.02931756973167,623.0128473463,378.959058655368,14.7778891118597,23,0.0888283032553426
range699_exp20_40.dng,central,623.043736289017,379.028999996587,1.64182256732082,1.71064494412044,3.9480561071317,623.011479749553,379.033185890446,15.5461069562887,22,0.0325270048661421
range699_exp20_41.dng,central,623.073497016186,379.049992646232,1.61600166416363,1.75916563510457,3.97752471304099,623.019108138425,378.971066409479,15.243807724717,23,0.0958514521124938
range699_exp20_42.dng,central,623.062074166088,378.965250284081,1.63423116430667,1.7320545996339,3.96516734852061,623.060019521103,378.889317443575,15.7307790984568,24,0.0759606334441645
range699_exp20_43.dng,central,622.999743728794,379.059300836327,1.64574209579503,1.73240011438418,3.97876253510644,622.986476826262,379.051283927546,15.4965848854163,22,0.0155010170377027
range699_exp20_44.dng,central,622.98543684352,379.009783663085,1.70132925967226,1.73606891954941,4.04742923851245,623.02135931317,378.979456413579,14.4915197114807,23,0.0470124014308276
range699_exp20_45.dng,central,623.038918212793,379.038529199413,1.65279395210005,1.7232661055957,3.97586842994201,622.983078637718,378.894145037186,15.3493989136819,24,0.154805828205978
range699_exp20_46.dng,central,623.030626078033,379.043445462491,1.65998001096059,1.74528856141959,4.01065082385638,622.990636968214,378.959730114618,15.2192898057995,23,0.0927760118439492
range699_exp20_47.dng,central,622.985204064619,379.057518321144,1.68791554124418,1.73073937409002,4.02546986037725,623.031336613082,379.094936599224,15.3237423447159,21,0.0593998279638845
range699_exp20_48.dng,central,623.015893156611,379.007805205595,1.71777759208676,1.7880262441913,4.12859256512125,623.052965012466,378.908058907752,14.5895774981483,24,0.106412623451824
range699_exp20_49.dng,central,622.997127579297,378.973082112122,1.70149716351605,1.78067729935777,4.10100233854849,623.022780277445,378.882842322967,14.8205553187064,24,0.0938151398707043
